20
Wagoner County
-98.2958150000 36.7520204201
-98.2958220000 36.7344679826
-98.3241880000 36.7343285261
-98.5047380000 36.7347820636
-98.5048370000 36.7173671961
-98.5063400000 36.6997371158
-98.6093830000 36.6999916887
-98.6093750000 36.6824712899
-98.6620030000 36.6822543343
-98.6540150000 36.5944072474
-98.6095050000 36.5946433912
-98.6095200000 36.5769195937
-98.6101610000 36.3810132682
-98.5519790000 36.3518368174
-98.5609740000 36.3417858197
-98.4843060000 36.2665676156
-98.4152980000 36.2933978259
-98.3985210000 36.3450800701
-98.3803180000 36.3491729650
-98.3871150000 36.3608473147
-98.3674930000 36.3799208285
-98.1749340000 36.3296534569
-98.1390690000 36.3626125375
40
42
-99.2108230000 36.5984399336
-99.1883090000 36.4496779654
-99.1283490000 36.4556471040
-99.1278310000 36.4371313375
-99.0758360000 36.4464758650
-99.0433580000 36.4307473703
-98.9871830000 36.4583645323
-98.9678120000 36.4342065120
-98.9506680000 36.4472183370
-98.8716510000 36.3908747572
-98.8667370000 36.3715261100
-98.8297880000 36.3867113040
-98.7562560000 36.3417532038
-98.6900710000 36.3520856888
-98.6447680000 36.3901085241
-98.6101610000 36.3810132682
-98.6095200000 36.5769195937
-98.6095050000 36.5946433912
-98.6540150000 36.5944072474
-98.6620030000 36.6822543343
-98.6616670000 36.8026767445
-98.8258290000 36.8050430652
-98.8262020000 36.9106385619
-99.0003510000 36.9107867653
-99.0010680000 36.9602855150
-99.1031490000 36.9638186840
-99.0795590000 36.9418353173
-99.0918660000 36.9321704236
-99.0830990000 36.9060467941
-99.1639330000 36.9025107893
-99.1848450000 36.8691028117
-99.1714710000 36.8529153096
-99.1961060000 36.8501363031
-99.2220540000 36.7854673707
-99.2148900000 36.7745229892
-99.2244570000 36.7000753342
-99.2378390000 36.7039825060
-99.2282560000 36.6594583962
-99.2087170000 36.6637663268
-99.2202530000 36.6447776641
-99.1920550000 36.6149017358
-99.2108230000 36.5984399336
40
12
-98.6232300000 37.9733541396
-99.3643190000 37.9745352742
-99.3600850000 37.5473273493
-98.7503430000 37.5469116933
-98.7368090000 37.5284888685
-98.7320180000 37.5438065528
-98.7126460000 37.5329735488
-98.6519090000 37.5564685540
-98.6456450000 37.5411208065
-98.6395570000 37.5552557098
-98.6210560000 37.5236951654
-98.6232300000 37.9733541396
40
10
-98.0926440000 37.2278261686
-98.0959630000 37.8669724296
-98.3063740000 37.8662978774
-98.3063740000 37.8826466388
-98.3132480000 38.0803532810
-98.6231460000 38.0804479229
-98.6232300000 37.9733541396
-98.6210560000 37.5236951654
-98.6198200000 37.2278688203
-98.0926440000 37.2278261686
40
24
-95.0499340000 37.9665684144
-95.0254360000 37.9598199839
-95.0065080000 37.9122049039
-94.8994750000 37.8888978808
-94.8923030000 37.8693628344
-94.9194870000 37.8351385753
-94.8421400000 37.8588265990
-94.8136290000 37.8002961609
-94.7564160000 37.8413181531
-94.6848830000 37.8051314179
-94.6687930000 37.7655970901
-94.6334300000 37.7640545648
-94.5948030000 37.8059673468
-94.4945530000 37.7730662414
-94.4813610000 37.7826252724
-94.4939650000 37.8065103367
-94.4861450000 37.8529046749
-94.4326860000 37.8707475540
-94.4726490000 38.1873887512
-94.8072970000 38.1874453520
-95.1274640000 38.1878021843
-95.1305390000 38.0472661223
-95.0840380000 37.9684136632
-95.0499340000 37.9665684144
40
15
-99.4092940000 37.5446696254
-99.3600850000 37.5473273493
-99.3643190000 37.9745352742
-99.3640980000 38.0278864612
-99.5584560000 38.0279896520
-99.5756000000 38.0280412475
-99.5757450000 37.9387293531
-99.5757140000 37.9209073393
-100.0003890000 37.9217025238
-100.0003810000 37.4418796348
-99.8885730000 37.4417306450
-99.7828900000 37.4485697472
-99.7794950000 37.5474398213
-99.4430240000 37.5450987196
-99.4092940000 37.5446696254
40
30
-96.5885010000 36.0647467359
-96.5805890000 36.0988848337
-96.5961070000 36.1265173872
-96.5770110000 36.1484180303
-96.6243970000 36.2035616715
-96.5782240000 36.2036449105
-96.5778430000 36.2499459292
-96.5730060000 36.2422618316
-96.5475160000 36.2689890960
-96.5853580000 36.3295012679
-96.6219790000 36.3872321796
-96.6734160000 36.3994221521
-96.9336700000 36.3996941045
-96.9684140000 36.3973335823
-96.9700090000 36.2768176539
-96.9697190000 36.2070360524
-96.9588390000 36.2068152809
-96.9347840000 36.1994709803
-96.9348370000 36.1364194770
-96.9052510000 36.1276999459
-96.8891140000 36.0476253273
-96.8639600000 36.0128708809
